Track URI,Track Name,Artist URI,Artist Name,Album URI,Album Name,Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,Added By,Added At
spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,...Baby One More Time,spotify:artist:26dSoYclwsYLMAKD3tpOr4,Britney Spears,spotify:album:3WNxdumkSMGMJRhEgK80qx,...Baby One More Time (Digital Deluxe Version),1/12/1999,https://i.scdn.co/image/ab67616d0000b2738e49866860c25afffe2f1a02,1,1,211066,https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,77,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:1di1BEgJYzPvXUuinsYJGP,Everybody (Backstreet's Back) - Radio Edit,spotify:artist:5rSXSAkZ67PYJSvpUpkOr7,Backstreet Boys,spotify:album:2U9ONknz1iFEK9drEKLx8v,Backstreet's Back,8/12/1997,https://i.scdn.co/image/ab67616d0000b273530cec85d4543693bd726167,1,1,225360,https://p.scdn.co/mp3-preview/2da7ea19b35ecbfaf2dd7273e9b305a4e090bbc9?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,73,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye,spotify:artist:6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,spotify:album:20RMokVwJ2wjQ0s8FOdOFC,No Strings Attached,3/21/2000,https://i.scdn.co/image/ab67616d0000b273a6cb8fab778e1efc406a5909,1,1,200400,https://p.scdn.co/mp3-preview/72b91cb27fac7beb50a2deffdd8b821fba5ba950?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,70,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",spotify:artist:31TPClRtHm23RisEBtV3X7,Justin Timberlake,spotify:album:40LbnfieVTWtHrK24WQeEB,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",5/6/2016,https://i.scdn.co/image/ab67616d0000b273ef37416970812293c08e8a78,1,1,236001,https://p.scdn.co/mp3-preview/9127f47e7e5265f51ab9e1a8d5d8edb9b7cb91a5?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,77,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:5Sz09kaSzvpTC8lgm5W8Mt,Mustang Sally,spotify:artist:0N5PyKJzS3M1XNlaCL7bbE,Wilson Pickett,spotify:album:6tdCKyx1g6XV5uzOWmkxSC,The Wicked Pickett,2/8/2005,https://i.scdn.co/image/ab67616d0000b2738f817166a595967d455fcb1d,1,1,187760,https://p.scdn.co/mp3-preview/4db851b0a9089e72ac2dc4aaa742e2a375c1953b?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,59,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:5rDkA2TFOImbiVenmnE9r4,Ring of Fire,spotify:artist:6kACVPfCOnqzgfEF5ryl0x,Johnny Cash,spotify:album:4E2eUhFHqTG2pu9MN1NDIF,The Essential Johnny Cash,2/12/2002,https://i.scdn.co/image/ab67616d0000b273c17beab3e27f18af397a00b2,1,15,155706,https://p.scdn.co/mp3-preview/4a4e6a9dee7d9b05c149d1744b685e9cefc7ed50?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,58,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:2374M0fQpWi3dLnB54qaLX,Africa,spotify:artist:0PFtn5NtBbbUNbU9EAmIWF,TOTO,spotify:album:62U7xIHcID94o20Of5ea4D,Toto IV,4/8/1982,https://i.scdn.co/image/ab67616d0000b2734a052b99c042dc15f933145b,1,10,295893,https://p.scdn.co/mp3-preview/4551544dbf630ad584de356432e8afbd84b96914?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,82,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:6QhXQOpyYvbpdbyjgAqKdY,Cecilia,spotify:artist:70cRZdQywnSFp9pnc2WTCE,Simon & Garfunkel,spotify:album:0JwHz5SSvpYWuuCNbtYZoV,Bridge Over Troubled Water,1/26/1970,https://i.scdn.co/image/ab67616d0000b273ba7fe7dd76cd4307e57dd75f,1,3,174826,https://p.scdn.co/mp3-preview/17cc997d95b0db3e396b03b0fa84e207ead7db43?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,73,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:4NtUY5IGzHCaqfZemmAu56,Dancing Queen,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,ABBA,spotify:album:1M4anG49aEs4YimBdj96Oy,Arrival,1976,https://i.scdn.co/image/ab67616d0000b2733c60391b048d33edff6f3d62,1,2,230693,,FALSE,26,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:0HEmnAUT8PHznIAAmVXqFJ,Faith - Remastered,spotify:artist:19ra5tSw0tWufvUp8GotLo,George Michael,spotify:album:34K1Kvskt9arWy8E1Gz3Lw,Faith,10/30/1987,https://i.scdn.co/image/ab67616d0000b273b7a9a6a2bf311630d3fc6956,1,1,193200,https://p.scdn.co/mp3-preview/ad227db8dedb8bbe85768d81a804db1d6e537967?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,74,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
